N,P,K,temperature,humidity,ph,rainfall,label,Dist Name,Year,Dist Code,State Code,State Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha)
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,kolhapur,1986,107,7,Maharashtra,100,175,1750
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,ahmednagar,1995,102,7,Maharashtra,5.8,9.3,1603.45
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,chhindwara,1990,9,6,Madhya Pradesh,20.8,20.7,995.19
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,mandya,1978,68,5,Karnataka,66.8,103.5,1549.4
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,kolhapur,2003,107,7,Maharashtra,106.9,248.3,2322.73
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,murshidabad,1985,804,13,West Bengal,275.03,435.63,1583.94
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,chhindwara,1996,9,6,Madhya Pradesh,19,15.8,831.58
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,kolhapur,1986,107,7,Maharashtra,100,175,1750
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,mandya,1979,68,5,Karnataka,70,203.5,2907.14
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,mandya,2002,68,5,Karnataka,43.12,122.36,2837.66
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,karnal,2011,184,4,Haryana,492.5,1539.02,3124.93
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,karnal,2016,184,4,Haryana,498.94,1700.64,3408.51
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice,ludhiana,2015,171,9,Punjab,269.9,1238.6,4589.11
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,mandya,2012,68,5,Karnataka,49.95,155.66,3116.32
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,chhindwara,1999,9,6,Madhya Pradesh,25.4,21.1,830.71
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,gorakhpur,1998,221,12,Uttar Pradesh,303.52,546,1798.89
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,kolhapur,1981,107,7,Maharashtra,96.7,238.7,2468.46
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,mandya,2016,68,5,Karnataka,43.66,113.68,2603.46
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,kolhapur,1997,107,7,Maharashtra,110.1,252.9,2297
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,ahmednagar,1986,102,7,Maharashtra,7,7,1000
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,sangrur,2004,175,9,Punjab,373.8,1739.68,4654.04
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice,karnal,2011,184,4,Haryana,492.5,1539.02,3124.93
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice,ahmednagar,2000,102,7,Maharashtra,5.5,3.8,690.91
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,chhindwara,2001,9,6,Madhya Pradesh,25.4,11.3,444.88
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,guntur,1979,49,1,Andhra Pradesh,359,644,1793.87
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,ahmednagar,1978,102,7,Maharashtra,8.8,13.8,1568.18
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice,hoshangabad,2016,43,6,Madhya Pradesh,122,280.66,2300.49
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,gorakhpur,2015,221,12,Uttar Pradesh,320.34,628.4,1961.67
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,guntur,1994,49,1,Andhra Pradesh,367.1,955.26,2602.18
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice,murshidabad,1985,804,13,West Bengal,275.03,435.63,1583.94
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,bareilly,1996,199,12,Uttar Pradesh,139.63,336.13,2407.29
